"meterID","date","use","temp"
"A",2016-08-15T04:00:00Z,0.64,68.21
"A",2016-08-15T05:00:00Z,0.64,68.14
"A",2016-08-15T06:00:00Z,0.31,68.49
"A",2016-08-15T07:00:00Z,0.07,74.24
"A",2016-08-15T08:00:00Z,0.06,79.85
"A",2016-08-15T09:00:00Z,0.07,86.72
"A",2016-08-15T10:00:00Z,0.07,93.52
"A",2016-08-15T11:00:00Z,0.07,95.13
"A",2016-08-15T12:00:00Z,0.07,95.98
"A",2016-08-15T13:00:00Z,0.06,95.84
"A",2016-08-15T14:00:00Z,0.07,89.43
"A",2016-08-15T15:00:00Z,0.09,88
"A",2016-08-15T16:00:00Z,0.1,86.5
"A",2016-08-15T17:00:00Z,0.07,82.85
"A",2016-08-15T18:00:00Z,0.08,79.74
"A",2016-08-15T19:00:00Z,0.33,79.92
"A",2016-08-15T20:00:00Z,0.65,74.92
"A",2016-08-15T21:00:00Z,0.65,76.05
"A",2016-08-15T22:00:00Z,0.64,73.95
"A",2016-08-15T23:00:00Z,0.64,71.1
"A",2016-08-16T00:00:00Z,0.65,72.49
"A",2016-08-16T01:00:00Z,0.65,69.93
"A",2016-08-16T02:00:00Z,NA,69.69
"A",2016-08-16T03:00:00Z,0.65,67.08
"A",2016-08-16T04:00:00Z,0.65,67.93
"A",2016-08-16T05:00:00Z,0.65,66.94
"A",2016-08-16T06:00:00Z,0.34,65.98
"A",2016-08-16T07:00:00Z,0.09,71.26
"A",2016-08-16T08:00:00Z,NA,75.51
"A",2016-08-16T09:00:00Z,0.07,81.52
"A",2016-08-16T10:00:00Z,0.07,87.38
"A",2016-08-16T11:00:00Z,NA,90.68
"A",2016-08-16T12:00:00Z,0.07,94.7
"A",2016-08-16T13:00:00Z,0.06,94.07
"A",2016-08-16T14:00:00Z,0.06,93.44
"A",2016-08-16T15:00:00Z,0.06,86.23
"A",2016-08-16T16:00:00Z,0.06,90.41
"A",2016-08-16T17:00:00Z,0.05,86.84
"A",2016-08-16T18:00:00Z,0.07,83
"A",2016-08-16T19:00:00Z,0.33,76.9
"A",2016-08-16T20:00:00Z,0.64,75.69
"A",2016-08-16T21:00:00Z,0.63,72.85
"A",2016-08-16T22:00:00Z,0.63,73.96
"A",2016-08-16T23:00:00Z,0.63,71.87
"A",2016-08-17T00:00:00Z,0.63,69.39
